"","B.cells","CAFs","Cancer.Epithelial","Endothelial","Myeloid","Normal.Epithelial","Plasmablasts","PVL","T.cells"
"001x044",0.00533950216034474,0.145507830497601,0.261341766439667,0.00573712172882195,0.3483371280665,0.025981746280734,0.0345789225565878,0.000210707595725615,0.172965274674018
"001x045",0.00805344181488448,0.231120130045761,0.357652074143579,0.0630948754492074,0.134189571002289,0.0428321275131382,0.0264038710677158,0.000291836876879121,0.136362072086546
"001x046",0.0147832063251292,0.166860049120478,0.479856811871423,0.0994958826223901,0.0555468572759086,0.109864998928488,0.0400444996639058,0.000533678573140831,0.0330140156191363
"001x047",0.000402337625425028,0.165279717014834,0.551598575184701,0.0290073557885394,0.0691629571187218,0.088795769500765,0.000402337625034503,0.00525702768510594,0.0900939224568731
"001x048",0.00771707258086458,0.422770808647482,0.230851493381024,0.0437702223081879,0.0803921064395912,0.103147743861014,0.000156424950976016,0.000156424950976612,0.111037702879884
"001x049",0.00015303301162694,0.416264239200406,0.280095052402534,0.0803605705268375,0.137559515658943,0.035431894046149,0.0232077610009282,0.000153033011625479,0.0267749011409498
"001x050",0.0189614078065609,0.240168113259728,0.400079716682727,0.00956517341825105,0.125645879083311,0.122793311753401,0.0241743613713371,0.00195094612374883,0.056661090500935
"001x051",0.000220070622671444,0.347572281478984,0.000220070622671463,0.224273598817455,0.159313844640522,0.157581817769835,0.000220070622671455,0.000220070622671456,0.110378174802518
"002x002",0.0399360441342045,0.000128905760030039,0.404596193824626,0.000128905760411038,0.000128905759246484,0.461399843352231,0.000128905760398207,0.0934233898909721,0.000128905757880792
"002x003",0.0459981838173776,0.22130578939781,0.0869774201011424,0.071386501663973,0.0691076025645365,0.420786461628165,9.26423113375782e-05,0.03717036897095,0.0471750295447084
"002x004",0.000149337396554853,0.368850597166679,0.000149337395856593,0.161480094861126,0.128900838017626,0.303272348341901,0.0368987720285418,0.000149337395856577,0.000149337395857522
"002x016",0.000193502481292183,0.280660918309281,0.376531010224058,0.107736225525109,0.208435632074341,0.00440450680486683,0.000193502481593271,0.00294555261429722,0.0188991494851621
"002x030",8.6314900830407e-05,0.438029005913716,0.143247639959411,0.142472499906739,0.0770856422231331,0.130217245805047,8.63148998724921e-05,0.000101781975136837,0.068673554416114
"002x032",0.00603797163118789,0.301049250363228,0.000132992773514881,0.0801621488134684,0.199345870654552,0.0692346963026518,0.113781395558914,0.000132992773514985,0.230122681128968
"002x033",0.0141557648764439,0.0826987241141932,0.699147443559557,0.0467221807296317,0.0431338542973414,0.0814016151535096,0.00279407428404377,0.00384227677771058,0.0261040662075688
"002x034",0.0143079998449822,0.289453716614298,0.352866910588477,0.0115415207151822,0.109709506317931,0.0648998322920396,0.000316258111868574,0.000316258111854291,0.156587997403368
"002x035",0.02022589701372,0.128356802145598,0.649184715308053,0.0134587023223465,0.0561762225693468,0.0557859680411722,0.000150691636833866,0.000150691636830029,0.0765103093260998
"002x036",0.0848983597974348,0.257508576833344,0.0137548550161866,0.0172395872927139,0.104398651482385,0.202751009102676,0.000130778474818494,0.0196387055541078,0.299679476446333
"002x037",0.0920333076332173,0.269305909692244,0.0128670053687196,0.0925075689874352,0.0795262610290511,0.0621725309626635,0.0368251227245856,0.00119559985239105,0.353566693749693
"002x038",0.0541089687677164,0.179198925225032,0.035548334748025,0.0309291894362878,0.164619205213672,0.036229724638914,0.0650832158625746,9.43325501739124e-05,0.434188103557604
"002x039",0.0198342478050676,0.365929187210997,0.0666910207913393,0.0289961935905272,0.15270854864009,0.00248964376138961,0.0252279333223625,0.0373446440490216,0.300778580829205
"002x040",0.0339397862732275,0.380058991398844,0.0812307918836043,0.116735543301367,0.155442285010337,0.0436036858356957,0.0515993545415264,0.0158745142889408,0.121515047466457
"002x041",0.0187814191572234,0.0429384340634534,0.873301036455725,0.0103601547925878,0.0310092773973162,0.00798801000989717,5.48804239294888e-05,0.00497415549066229,0.0105926322092049
"002x042",0.00760161531632806,0.197168943641793,0.424945131550269,0.0143248975053592,0.179585642977239,0.0743587387455523,0.0290003637935855,0.000342077363282821,0.0726725891065915
