"","x","y"
"002x033",13233.1222912587,5737.45038637714
"002x034",13598.1392739229,5737.45038637714
"002x035",13963.1562565871,5737.45038637714
"002x036",14328.1732392514,5737.45038637714
"002x037",14693.1902219156,5737.45038637714
"002x038",15058.2072045798,5737.45038637714
"002x039",15423.2241872441,5737.45038637714
"002x040",15788.2411699083,5737.45038637714
"002x041",16153.2581525725,5737.45038637714
"002x042",16518.2751352367,5737.45038637714
"002x043",16883.292117901,5737.45038637714
"002x044",17248.3091005652,5737.45038637714
"002x045",17613.3260832294,5737.45038637714
"002x046",17978.3430658936,5737.45038637714
"002x047",18343.3600485579,5737.45038637714
"002x048",18708.3770312221,5737.45038637714
"002x049",19073.3940138863,5737.45038637714
"002x050",19438.4109965506,5737.45038637714
"002x051",19803.4279792148,5737.45038637714
"002x052",20168.444961879,5737.45038637714
"003x000",1187.56186333919,6102.46736904137
"003x001",1552.57884600342,6102.46736904137
"003x002",1917.59582866765,6102.46736904137
"003x003",2282.61281133187,6102.46736904137
"003x004",2647.6297939961,6102.46736904137
"003x005",3012.64677666033,6102.46736904137
"003x006",3377.66375932455,6102.46736904137
"003x007",3742.68074198878,6102.46736904137
"003x008",4107.69772465301,6102.46736904137
"003x009",4472.71470731724,6102.46736904137
"003x010",4837.73168998146,6102.46736904137
"003x011",5202.74867264569,6102.46736904137
"003x012",5567.76565530992,6102.46736904137
"003x013",5932.78263797414,6102.46736904137
"003x014",6297.79962063837,6102.46736904137
"003x015",6662.8166033026,6102.46736904137
"003x016",7027.83358596683,6102.46736904137
"003x017",7392.85056863105,6102.46736904137
"003x018",7757.86755129528,6102.46736904137
"003x019",8122.88453395951,6102.46736904137
"003x020",8487.90151662374,6102.46736904137
"003x021",8852.91849928796,6102.46736904137
"003x022",9217.93548195219,6102.46736904137
"003x023",9582.95246461642,6102.46736904137
"003x024",9947.96944728064,6102.46736904137
"003x025",10312.9864299449,6102.46736904137
"003x026",10678.0034126091,6102.46736904137
"003x027",11043.0203952733,6102.46736904137
"003x028",11408.0373779376,6102.46736904137
"003x029",11773.0543606018,6102.46736904137
"003x030",12138.071343266,6102.46736904137
"003x031",12503.0883259302,6102.46736904137
"003x032",12868.1053085945,6102.46736904137
"003x033",13233.1222912587,6102.46736904137
